mysql> show global variables;
+------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                              | Value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| activate_all_roles_on_login                                | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| admin_address                                              | 127.0.0.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| admin_port                                                 | 7306                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| admin_ssl_ca                                               | /db/metadata/ca.pem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| admin_ssl_capath                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| admin_ssl_cert                                             | /db/metadata/server-cert.pem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| admin_ssl_cipher                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| admin_ssl_crl                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| admin_ssl_crlpath                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| admin_ssl_key                                              | /db/metadata/server-key.pem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| admin_tls_ciphersuites                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| admin_tls_version                                          | TLSv1.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| authentication_policy                                      | *,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| auto_generate_certs                                        | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| auto_increment_increment                                   | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| auto_increment_offset                                      | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
